part_number,depth,height,length,weight
A4000644,16,32,64,114
A4000649,16,30,70,168.96
A4000653,16,45.5,39.5,121
A4000654,17,32,40,79
A4000659,17,30,65,132
A4000660,14.96,47.64,39.37,123.46
A4000668,13,21.5,14.5,3.31
A4000669,17.75,21.75,17.75,19.8
A4000672,16,30,68,101
A4000673,16,30,68,176.66
A8000034,1.5,48,72,13
A8000035,1.75,36,48,5
A8000042,2.25,47.88,71.88,13
A8000070,1.5,36,48,7
A8000074,1.25,39.5,19.75,10
A8000103,1.6,36,48,8
A8000152,1.5,18,48,4
A8000155,2,25.5,25.5,10
A8000179,1.5,48,48,7
A8000189,2.63,50,20.25,17
A8000198,0.48,27,23,33
A8000253,1.5,48,72,12
A8000257,1.6,36,48,7
A8000258,1.6,36,48,7
A8000261,0.75,14,14,1
A8000263,0.75,16,24,1
A8000265,0.75,24,16,1
A8000277,1.5,60,30,5
A8000289,0.25,36,48,25
A8000290,1.25,36,48,5
A8000297,1.6,24,24,8
A8000304,1.5,47.24,70.87,8
A8000306,1,28,24,32
A8000316,0.15,50,40,31
A8000317,2.25,70.63,48,32
A8000318,2,71,47.38,15
A8000320,1.5,47.24,70.87,10
A8000325,1.38,50,60,7
A8000327,1.57,60,24,7.7
A8000328,1.57,60,24,6
A8000332,1.75,39.38,49.88,7
A8000335,1.18,28,24,28
A8000337,2,70.75,47.13,13
A8000340,1.5,37,62.6,20
A8000341,1.5,46.5,86.6,27
A8000342,1.5,62.6,37,20
A8000345,1.25,29.63,23.63,3
A8000348,1.38,39.38,39.38,6
A8000349,1.75,49.88,39.5,7
A8000350,1.38,48,36,6
A8000351,1.38,23.75,19.75,21
A8000352,1.75,39.38,50,7
A8000353,1.5,72,48,13
A8000354,1.57,40,40,8
A8000355,1.63,35.63,35.38,4
A8000357,1.5,48.13,36,6
A8000359,1.5,36,36,4
A8000361,2,24,24,3
A8000362,1.57,50,40,8
A8000363,1.5,62,24,14
A8000364,1.18,40,30,8
A8000365,1.5,31.5,31.5,4
A8000368,1.38,29.88,24,7
A8000369,1.18,20,20,10
A8000370,1.25,39.25,29.5,8
A8000371,1.38,40,20.13,6
A8000374,1.75,37,62.63,20
A8000375,1.5,35,60,8
A8000378,1.38,35.5,47.25,5
A8000379,1.63,36,48,7
A8000380,1.13,36,48,6
A8000385,1.38,40.38,30.38,5
A8000386,1.25,30,40,9
A8000388,1.5,50,30.13,6
A8000390,1.63,40.38,29.88,5
A8000391,1.63,40.5,40.5,6
A8000392,1.5,30,60,5
A8000393,1.5,48,16.13,5
A8000394,1.13,40,29.88,9
A8000395,1.5,48.25,36.25,5
A8000398,1.25,36.25,48,7
A8000399,1.5,47.25,35.5,5
A8000400,1.5,47.25,35.5,7
A8000401,1.5,47.38,71,12
A8000402,1.5,40,40,6
A8000403,1.5,35.13,24,3
A8000404,1.5,34.5,59,9
A8000406,1.26,40,30,8.25
A8000407,1.26,40,30,8.25
A8000409,1.38,50,40,6.05
A8000410,1.5,48,36,5.25
A8000411,1.26,27,23,34.76
A8000412,1.5,27,23,28
A8000413,1.38,48,36,4.29
A8000414,1.38,40,30,8.91
A8000415,1.38,30,24,6.6
A8000417,1.63,40,40,6.25
A8000418,1.57,40,40,4.65
A8000419,1.5,48,36,5.25
A8000420,1,48,36,24.53
A8000421,1,48,36,24.53
A8000422,1,48,36,24.53
A8000423,1,48,36,24.53
A8000424,1.57,47,87,33.77
A8000425,1.63,40,50,7.5
A8000426,1.57,72,48,11.88
A8000428,1.57,48,48,8.36
A8000431,1.38,48,36,4.73
A8010009,0.88,20.13,20.13,16
A8010020,1.25,36,26.75,12
A8010025,1.25,46.5,32,33
A8010036,6,22,11,5
A8010043,6.75,28,11.75,6
A8010054,,,,6.05
A8010061,3,31,31,11
A8010068,3,35.75,35.75,7
A8010069,1.13,52,30,30
A8010076,1,30.75,30.75,10
A8010081,1.38,78,30,33
A8010089,1,35.75,35.75,5
A8010096,6,30.5,34.25,7
A8010097,8.5,48.75,24.5,12
A8010107,,,,6
A8010110,2.5,36.75,30.88,15
A8010112,1.5,40,40,9
A8010113,1.5,31.75,31.75,10
A8010123,1.63,70,34.5,31
A8010124,1,42,42,21
A8010126,1.63,26.13,26.13,12
A8010127,1.25,32,32,17
A8010130,2,23.6,23.6,4
A8010131,1.5,71,30,37
A8010135,0.62,47.25,36,34
A8010146,3.75,18.5,18.5,3
A8010147,4,30.25,30.25,10
A8010153,4.75,20.2,9,4
A8010154,4,20.25,12.25,4
A8010155,0.75,16,18.75,4
A8010166,2,42,18,12
A8010171,6,23.75,7.75,4
A8010179,2,41.25,41.25,29
A8010180,0.5,50,30,4
A8010187,5.63,23.63,10.75,7
A8010188,6.5,22.13,9.75,5
A8010189,29.63,2.13,29.63,17
A8010190,6.75,22,8,4
A8010197,1.5,69,32,63
A8010198,1.88,35.25,35.25,20
A8010201,6,24,18,4
A8010202,6,24,27,4
A8010203,2,30,45,15
A8010205,0.75,32,32,17
A8010206,0.75,36,26,20
A8010207,0.6,23.5,23.5,6
A8010210,1.13,31,31,17
A8010211,1,31,31,17
A8010214,1,36,24,21
A8010215,1,36,24,21.12
A8010216,1.25,39.87,29.87,18
A8010217,1.5,70,29.88,28
A8010218,1.2,40,30,14
A8010219,1.25,70,30,28
A8010220,1.2,40,30,14
A8010221,1.2,70,30,25
A8010222,2.5,24,24,11
A8010223,0.78,32,24,11
A8010232,4.25,31,22,13
A8010233,4.25,23,32,15
A8010236,1.25,46.5,32,32
A8010237,1.2,36,36,6
A8010238,1.2,36,36,6
A8010239,1.3,26,26,5
A8010258,8,5,38,10
A8010259,8,5,38,10
A8010260,8,5,38,10
A8010262,1.5,48.25,36.25,49
A8010263,1.25,72.13,24,50
A8010264,1.25,36.5,48.5,44
A8010265,1.25,72,24.13,45
A8010266,1.25,48.5,36,44
A8010267,1.25,72,24,46
A8010270,11.25,14.5,38,29
A8010271,11.25,14.5,48.13,32
A8010272,11.25,14.5,60,42
A8010273,2,52,40,51
A8010274,2,78,42,94
A8010275,2,52,40,55
A8010276,2,78,42,82
A8010277,2,40,30,38
A8010278,2,72,36,76
A8010280,1.25,48,20,19
A8010281,1.25,48,20,22
A8010284,1.5,22.5,44.25,5
A8010286,1,42,10,5
A8010288,1,36,36,18
A8010289,0.78,18,18,10
A8010290,2,48,20,20
A8010291,1,50,30,4
A8010292,1,32,32,17
A8010293,1,36.13,24.25,21
A8010297,1.34,70.08,25.98,36
A8010298,1,50,30,5
A8010300,2,30,30,3
A8010301,20.63,1.63,36,2
A8010304,1.63,38.25,38.25,15
A8010305,5.13,22.75,12,2
A8010306,6.77,17.72,6.89,2
A8010307,1.57,68,30,39
A8010310,36,0.75,36,19
A8010311,1,43.63,16.5,11
A8010312,2.25,31,31,17
A8010313,0.75,35.5,35.5,19
A8010314,1,36,23.88,14
A8010318,7.75,24,4.63,4
A8010319,1.13,48,32,27
A8010320,1.25,28.38,36,17
A8010323,2.25,78,38.25,74
A8010326,1.5,52,28,55
A8010328,1,36,36,30.8
A8010329,2.75,39,24,17.16
A8010330,2,30,30,9.38
A8010333,1,50,25,19.14
A8010335,2,19,20.5,4.05
A8010340,1.25,36.02,18.11,6.6
A8010341,2.56,68.11,27.95,35.2
A8010342,16.5,66,20,26.84
A8010343,24,68.5,28,53.35
A8010359,1.75,45,45,60
A8010360,8,3,24,4
A8010361,8,3,36,6
A8010364,8,3,36,6
A8010365,8,3,48,7
A8010366,1.8,32,32,7
A8010367,4.02,27.99,12.01,2
A8010368,4.6,19.69,17.52,2
A8010369,0.5,24,24,6
A8010370,0.5,24,24,6
A8010371,0.5,21,48,3.08
A8010372,0.5,18.7,48,3
A8010373,,,,5
A8010374,,,,4
A8010375,0.8,19.28,19.28,8
A8010378,1.25,32,32,4
A8010379,17.38,66,28,60
A8010383,17.38,66,28,66
A8010384,17.38,66,28,66
B010-209,18,18.5,54,51
EA1011-120,19.75,32.75,30,43.384
EA1011-140,16,31.5,31.63,46.31
EA1024-3X3,11.81,35.43,35.35,48
EA1024-4X2,11.81,47.05,23.74,39
EA1221-200,24,7.25,35.75,29
EA1221-243,18.88,33.88,29.88,80
EA1221-3X1,11.81,35.43,12.13,18
EA1221-4X2,11.81,47.05,23.74,39
EA1811-2X2,11.81,23.82,23.74,23
EA1811-3X2,11.81,35.43,23.74,33
EA1811-3X3,11.81,35.43,35.35,48
EA1811-4X2,11.81,47.05,23.74,39
EA1864-150,15.75,13.9,52.72,70
EA1864-151,7.5,7.5,52.75,15
EA1864-2X2,11.81,23.82,23.74,23
EA1864-3X2,11.81,35.43,23.74,33
EA1864-3X3,11.81,35.43,35.35,40
EA1864-4X2,11.81,47.05,23.74,39
EA2120-150,15.75,13.9,52.72,70
EA2120-151,7.5,7.5,52.75,15
EA2270-150,15.75,13.03,52.72,70
EA2270-151,7.5,7.5,52.75,15
EA2270-200,24,7.25,35.75,29
EA2320-150,15.75,13.9,52.72,70
EA2320-151,7.5,7.5,52.75,15
EA4121-243,19.33,28.78,29.88,75
EA4957-4X2,11.81,47.05,23.74,39
EA5514-243,18.88,33.88,29.88,80
L000148,9.88,20.5,9.88,7
L000318,22.25,20.88,22.25,5
L000348,14.5,21.38,14.5,4
L000468,13.88,20.25,13.88,7
L000668,8.88,9.25,8.88,4
L000678,8.75,9.5,8.75,4
L000718,11.88,3,11.88,5
L000728,11.88,5.5,11.88,4
L000818,26,27,26,6
L000978,8.88,8.38,8.88,5
L000988,9,8.5,9,4
L100074,17,30.75,17,9
L100254,15.5,29.5,15.5,7
L100664,16,27.5,16,9
L100724,15.5,26.5,15.5,6
L100744,17.13,28,17.13,14
L100764,18,26,18,9
L100794,16.88,30.5,16.88,8
L100804,16,24.5,16,15.84
L100814,18,28,18,14.3
L100824,16,29.75,16,11.9
L117964,14,25,14,5
L121854,14,25,14,10
L123874,15,25.63,15,5
L123884,15,28,15,10.812
L123894,14.88,22.5,14.88,7
L123904,14,19.5,14,6
L177904,13,25.25,13,10
L177944,6.13,22.5,6.13,8
L177954,6.13,22.5,6.13,8
L177964,15,26.5,15,10
L177974,12.88,24.75,12.88,8
L177984,13.38,25.75,13.38,9
L177994,13.75,27,13.75,8
L178004,14,26.75,14,11
L178014,14,25.63,14,9
L178034,14,26.75,14,13
L180024,11,19.75,11,4
L180084,10.88,18.63,10.88,4
L180094,11,17.5,11,3
L180114,8.88,19.63,8.88,2
L180124,8.75,19.75,8.75,3
L180134,8.75,19.88,8.75,3
L180174,12,21,12,5
L180184,11,19.25,11,3
L180194,11,19.13,11,3
L180204,10,17,10,3
L180214,10,17.25,10,3
L200064,11,33.5,18,9
L201944,15,29.63,15,8.826
L204024,14.13,29,14.13,8
L204054,8.63,29.5,15.13,10
L204064,13,24.75,13,8
L204074,8.63,29,15.25,10
L204164,14,25.88,14,4
L204174,11,27.5,13,8
L204194,10.13,22.25,10.13,3
L204204,12.13,18.5,12.13,3
L204314,7,14.5,7,1
L204324,6.88,14.38,6.88,2
L204334,6.88,14.25,6.88,1
L204344,6.88,14.13,6.88,2
L204384,7,14.25,7,2
L204414,12,24.5,12,6
L204424,12.75,26.25,12.75,6
L204454,12.13,24.25,12.13,6
L204464,12.5,23.5,12.5,6
L204474,12.13,24,12.13,6
L204494,13,24.25,13,8
L204514,9,24,15,10
L204526,14,57.63,14,18
L204534,8.5,29.25,15,10
L204544,14.63,28.38,14.63,8
L204554,8.5,28.5,15.25,4.07
L204554T,8.5,28.5,15.25,2.04
L206001,25,58.25,11,10
L206002,12,21.25,7,4
L206011,15.5,61.75,12,11
L206021,17.25,62.5,10.88,12
L206022,10.5,23.25,7.88,5
L206032,13.5,18,8,4
L206041,21.5,59.75,13,12
L206042,13,22.75,7.13,5
L206043,17.75,26.38,11,6
L206044,13,27.75,13,5
L206051,21.5,60,13,12
L206061,14.75,57.25,10.75,18
L206062,10.5,25.38,7.13,5
L206071,16,63.25,11,11
L206072,9.13,24.25,7,5
L206081,13.38,60,11,10
L206082,11,22,6.75,4
L206101,23,70.5,23,10
L207111,13,59,11,14
L207151,18,61.38,11,13
L207171,13,59.75,13,15
L207181,21,62,12.25,10
L207294,15,25,15,4
L207304,15.75,24.5,15.75,4
L207314,15,23.13,15,5
L207344,15.13,30.5,15.13,6
L207354,18,27,18,7
L207364,16.63,29.38,16.63,6
L207394,8.88,29,19,17
L207404,18.38,28.88,18.38,5
L207434,18.25,26.63,18.25,6
L207454,19.25,27.25,19.25,7
L207464,17.13,25.38,17.13,6
L207474,18,27.5,18,5.28
L207484,17.5,23.5,17.5,6.27
L207494,17,28.25,17,5.72
L208124,8.5,28,17.25,7
L208234,11,29,19,9
L208254,9,32.75,17,8
L208284,9,35.75,18,9
L208294,17,29.75,17,8
L208304,17.88,29.5,17.88,7
L208311,20.38,64,20.38,11
L208324,17.13,31.38,17.13,9
L208334,20,34.63,20,7
L208344,20.13,34.75,20.13,8
L208354,20.13,34.75,20.13,8
L208361,17.25,60,17.25,12
L208364,15,24,15,8
L208373,10,35.75,10,4
L208374,11.13,26.38,11.13,4
L208394,13.88,27,13.88,14
L208413,12,32.63,12,5
L208421,15.75,61.25,15.75,20
L208424,13,22.38,13,8
L235341,18,61.13,18,14
L235344,15.63,33,15.63,12
L235484,15,33.75,15,6
L235584,13,24.5,13,8
L235624,10,26.63,18.25,9
L235634,16,29,16,10
L235673,4.88,7.13,5,7
L235674,9,31.38,9,6
L235684,14.63,27.13,14.63,6
L235694,17.25,25.75,17.25,12
L235714,16.13,31.5,16.13,8
L235754,10.13,26.63,16,9
L235761,21.25,68.5,21.25,27
L235774,11,34,20,10.43
L235783,14,36.5,14,6.07
L235791,23.5,65,23.5,32.25
L235804,18,29,18,12.34
L243004,13.25,27.5,13.25,8
L243144,12.5,28.75,14.5,12
L243164,15,27.25,15,10
L243174,10,28,15,16
L243264,9.38,30,17,6
L243274,18,33.25,18,10
L243284,11.13,22.5,11.13,8
L243294,13,23.25,13,10
L243304,12.13,26.25,12.13,10
L243314,15,25.25,15,8
L243324,11.88,21.88,11.88,8
L243334,9,29.25,13.88,12
L243344,9,29,14,10
L243354,13.63,24.5,13.63,12
L243654,10,26.5,16,16
L243664,10.13,26,14,9
L276014,14,29.25,14,10
L276024,13,27.75,13,8
L316984,14.5,24.13,14.13,11
L317004,11.5,25,15.5,3.96
L317034,17,31,17,5.29
L318924,14.06,27.13,14.06,15.44
L328964,13,26.5,13,6
L329011,22.25,71,22.25,16
L329021,22.13,71,22.13,13
L329034,17.63,26,17.63,5
L329053,8.5,17.13,8.5,1
L329064,16,23.5,16,3
L329074,13.75,23.75,13.75,3
L329084,13.75,23.75,13.75,3
L329094,13,23.25,13,6
L329101,24.25,58,24.25,12
L329104,18.13,30.13,18.13,5
L405284,9.25,28.75,15.25,12
L428064,10,31.75,17,12
L428081,15.13,56.25,15.13,13
L428084,12,25.25,12,12
L428144,14.88,29.75,14.88,5
L428154,14,27.13,14,10
L428164,14,27.25,14,10
L428174,15,29,15,8
L428184,16,28.38,16,25
L429014,9,27,15,10
L429034,11.5,30,15.5,9
L429044,15.5,28,15.5,8
L429064,17,32.25,17,8.1
L430114,16.5,30.75,16.5,6.62
L430144,16.19,30.13,16.19,11
L430164,15.5,30.5,15.5,5
L430324,16,25.25,16,6
L430414,14.88,28,14.88,6
L430514,14,28.25,14,16
L430594,13,24.63,13,4
L430664,16.63,27.75,16.63,7
L430674,10,22.5,10,4
L430724,16.5,25.38,16.5,6
L430744,14,20.75,14,6
L430764,14,21.5,14,6
L430784,14,21.5,14,8
L430794,14,23.5,14,4
L430804,16.13,23.5,16.13,7
L430814,14,28.75,14,8
L430824,14,27.63,14,9
L430834,17.63,28.25,17.63,7
L430844,15,26.38,15,4
L431374,13,29,13,12
L431414,13,28.25,13,4
L431514,10.88,21.25,10.88,3
L431544,10,18.75,10,2
L431554,10,18.88,10,2
L431564,12,23.5,12,6
L431574,14,26.25,14,8
L431584,14,29.5,14,10
L431604,14.88,29.38,14.88,10
L431614,15,25.75,15,9
L725059,56,83,70,28
L725089,27,95,13.75,38
L725109,46,91,86.25,28
L725119,29,95,13.5,30
L725139,29,95,38,25
L725149,52,85,18,25
L734031,19.25,57.75,15.13,17
L734232,14,33.25,7.75,9
L734251,22.5,64.63,14,17
L734252,17.5,34.5,12.5,9
L734312,7,20.38,6,2
L734322,7,20.5,6,2
L734332,7,20.38,6,2
L734341,29.75,58.25,11,12
L734342,18.75,18.75,7.13,4
L734381,10,62.75,13.75,14.5
L734392,6.75,20,16,5.7
L801524,11,23.75,11,2.868
L815714,11.69,23.63,11.69,6
L857664,12,23,12,6
L857674,8,18,8,2
L857724,8,18.25,8,1
L857764,7,18.88,12,5
L857824,8,19.5,8,2
L857834,6.5,16.5,6.5,1
M52110P,28,12,20,2.53
M52111P,20,6,28,3.4
M52112P,26,8,20,4
M52113P,17,5,28,3.5
M52114P,17,6,28,3.5
Q320001T,90,0,69,4
Q320003F,90,0,84,5
Q371003K,96,0,108,7
Q371003Q,96,0,92,5.5
Q373013Q,96,0,92,6.4
Q420003F,90,0,84,4.3
Q487003Q,96,0,92,9.5
Q489013Q,96,0,92,9.5
Q489023Q,96,0,92,10
Q493003Q,96,0,92,5
Q497003K,108,0,96,8
Q702001T,90,0,69,3.5
Q702003F,90,0,84,4.5
Q721001T,90,0,69,3
Q721003K,96,0,108,5
Q722001T,90,0,69,3
Q723002Q,92,0,90,4
Q780003K,96,0,108,8.16
Q780003Q,96,0,92,7.04
Q781003Q,96,0,92,10.5
Q782003Q,96,0,92,9.47
Q790001T,90,0,69,3.67
Q790003F,90,0,84,4.21
Q901001T,90,0,69,3.5
Q901003F,90,0,84,4.5
Q903003K,96,0,108,8
Q904003K,96,0,108,8
R240002,84,1.26,60,6.5
R244002,84,1.26,60,14
R320002,84,1.26,60,14.75
R400801,114,1.26,90,25
R400802,84,1.26,60,12.5
R401961,118,0.31,94,24
R401962,87,0.31,60,10
R401981,114,0.31,92,22.5
R402112,84,0.35,60,3.3
R402541,120,0.28,96,30
R402542,84,0.28,60,13.02
R402621,118,0.43,94,25
R402622,84,0.43,60,11
R402631,118,0.43,94,27
R402632,90,0.43,60,11
R402701,120,0.39,96,42
R402702,84,0.39,60,18
R402721,120,0.24,96,27
R402722,84,0.24,60,10
R402921,114,0.47,78,27
R402922,79,0.47,60,14
R403121,120,0.24,96,31.7
R403122,84,0.24,60,12.5
R403461,114,0.98,78,21
R403462,79,0.98,60,10.5
R403741,123,0.79,94,34.5
R403742,87,0.79,63,16.5
R403751,123,0.31,94,19
R403752,87,0.31,63,9.5
R403761,122,0.35,94,31.5
R403762,87,0.35,63,14.5
R403771,122,0.35,94,30.5
R403772,87,0.35,63,14
R403781,122,0.35,94,31.5
R403782,87,0.35,63,14
R403971,114,0.47,98,29
R403972,79,0.47,60,14
R404121,120,1.1,94,45.5
R404122,84,1.1,60,21
R404131,126,0.75,94,61.5
R404132,87,0.75,63,26.5
R404201,120,0.67,94,45
R404202,84,0.67,63,18.5
R404312,84,0,60,31.5
R404441,122,0.63,93,62
R404442,83.63,0.75,62.63,29
R404481,123,0.67,94,56
R404482,87,0.67,63,26
R404511,114,0,90,28.5
R404512,84,0,60,8
R404552,87,0,63,20.5
R404611,118,1.57,94,25.5
R404612,84,1.57,60,11
R404621,118,1.57,94,29
R404622,84,1.57,60,13
R404802,84,0.16,60,25.5
R404812,84,0.28,60,25.5
R404851,123,0.79,94,41
R404852,87,0.79,63,18.5
R404861,120,1.18,94,25.5
R404862,87,1.18,63,12.5
R404871,120,0.35,94,30
R404872,87,0.35,63,14.5
R404891,123,0.67,94,53.5
R404892,87,0.67,63,26
R404901,123,0.67,94,53
R404902,87,0.67,63,26.5
R404911,123,0.35,94,39.5
R404912,89,0.35,60,19.5
R404921,120,0.43,94,33
R404922,91,0.43,63,16.5
R404931,120,0.47,96,53.5
R404932,84,0.47,60,28
R404961,114,0,90,22.5
R404962,84,0,60,10
R404971,120,1.18,94,24.5
R404972,87,1.18,63,12
R404981,120,0.43,94,32.5
R404982,91,0.43,63,16.5
R404991,120,1.18,94,25
R404992,87,1.18,63,12.5
R405001,122,0.01,94,18
R405002,91,0.01,63,10
R405011,122,0.01,94,18
R405012,91,0.01,63,10
R405021,122,0.01,94,19
R405022,91,0.01,63,10
R405031,122,0,94,18
R405032,91,0.01,63,10
R405041,120,0.06,94,18.5
R405042,84,0.06,63,9
R405051,120,0.06,94,18
R405052,84,0.01,63,9
R405071,120,0,92,39
R405072,84,0,60,19.5
R405091,120,0,92,70.5
R405092,84,0,60,31
R405101,120,0,92,74.5
R405102,84,0,60,34.5
R405111,120,0.35,92,45.5
R405112,84,0.5,62,23.5
R405131,120,0.2,92,68.5
R405132,84,0.2,60,33.5
R405162,84,0.35,60,29.5
R405181,118,0.51,94,38.5
R405182,87,0.51,60,18
R405191,126,0,94,60.5
R405192,87,0,63,29.5
R405201,118,0,94,37.5
R405202,87,0,63,19
R405212,87,0.59,60,13
R405232,84,0,60,11.5
R405251,120,0,92,46.5
R405252,84,0,60,23
R405271,120,0.35,92,45
R405272,84,0.35,60,22
R405281,120,0.31,92,53
R405282,84,0.31,60,27.5
R405291,120,0,92,82.28
R405292,84,0,60,23.5
R405311,120,0.2,92,27.5
R405312,84,0.2,60,13
R405321,122,0.28,94,39.5
R405322,89,0.28,60,19
R405331,124,0.3,94,29
R405332,94,0.3,60,14
R405341,120,0.67,94,32.5
R405342,84,0.67,63,15
R405351,120,0.79,95,38.5
R405352,84,0.79,63,18
R405361,120,0.79,95,41
R405362,84,0.79,63,18
R405372,84,0.39,60,16
R405381,120,0.39,96,23.5
R405382,84,0.39,60,10.75
R405401,118,0.39,94,35
R405402,84,0.39,60,15
R405411,118,1.18,94,15.5
R405412,84,1.18,60,16
R405431,126,0.35,94,27.25
R405432,95,0.35,63,13.75
R405441,120.25,0.25,94.25,19
R405442,82,0.25,60,8
R405451,115.25,0.38,90.25,25
R405452,84,0.25,60,10
R405461,114,0.35,90,22
R405462,84,0.38,59.5,11
R405471,120.75,0.25,97.13,18
R405472,84,0.25,60.5,8
R405481,120.5,0.25,96.5,19
R405482,83.75,0.25,60.38,8
R405491,120,0.12,96,19
R405492,83.25,0.13,60.5,8
R405502,84,0,60,20
R405521,120.08,0.12,94.49,26.5
R405522,83.86,0.12,62.99,13
R405542,83.86,0.12,62.99,13
R405551,120.08,0.1,94.49,17.5
R405552,83.86,0.1,62.99,8.5
R405561,120.08,0.1,94.49,16.5
R405562,83.86,0.1,62.99,8.5
R405571,119,0.1,93,22
R405572,82,0.1,62,9.5
R405582,85,0.06,62,10
R405591,121,0.06,93,23
R405592,85,0.06,62,10
R405601,121,0.06,93,20.5
R405602,85,0.06,62,10
R405611,118,0,94,12.5
R405612,84,0,63,5.75
R405631,118,0,94,12.5
R405632,84,0,63,5.75
R405641,118,0,94,12
R405642,84,0,63,5.25
R405651,118,0.28,94,16.25
R405652,84,0.28,63,8
R405661,118,0.28,94,14.75
R405662,84,0.28,63,7
R405671,118,0.28,94,13.75
R405672,84,0.28,63,8
R405681,118,0.28,94,16.25
R405752,84,0.51,60,10.5
R405762,87,0.31,63,6.5
R405771,121,0.13,97,18
R405772,84.25,0.25,60.25,7
R405781,120.25,0.25,94,18
R405782,83.5,0.25,60,8
R405791,120.5,0.25,93.25,17
R405792,83.5,0.25,60,8
R405811,132.75,0.38,90,22
R405812,84,0.35,60,10.5
R405821,119,0.12,93,22
R405822,82,0.12,62,9.5
R405891,118,0.24,94,24.68
R405892,87,0.24,63,12.17
R405911,116,0.25,91,18.5
R405912,84,0.13,60,8
R405921,115.5,0.13,91,18.5
R405922,84,0.13,60,8.5
R405931,115.5,0.13,91,18
R405932,84,0.13,60,8.5
R405951,122.25,0.75,98,35.75
R405952,86,1,58,15
R405961,122.25,0.25,95,18.5
R405962,84,0.25,60,9
R405971,121.25,0.25,94.75,19.5
R405972,84,0.25,60,8.5
R405981,118.75,0.25,94.5,29
R405982,72.75,0.25,60,12
R405991,120,0.16,96,17
R405992,84,0.16,60,8
R406001,117.5,1,94.5,47
R406002,90,0.98,60,21.5
R406012,93,0.25,71.25,10.5
R406022,89.5,0.25,70,11
R406041,122,0.25,94.5,38.5
R406042,88.5,0.25,60.25,17
R406051,122,0.25,94.5,39.5
R406052,88.5,0.25,60.25,18
R406061,129,0.25,94.5,25
R406062,93.25,0.25,59.75,11
R406071,118.5,0.75,94,36
R406072,87.13,0.38,63,16
R406101,127.25,0.38,94.25,38
R406102,87.5,0.63,63.25,20
R406111,128.5,0.5,94,40
R406112,88.5,0.5,63,18.5
R406131,128.5,0.5,94.5,39
R406132,89,0.5,63.25,19
R406161,120,0.75,91.5,46
R406162,84,0.75,60,21.5
R406171,120,0.3,94,34.5
R406172,90,0.3,63,16.5
R406181,120,0.3,94,29
R406182,90,0.3,63,14.5
R406191,121.13,0.38,98.25,25
R406192,84.13,0.38,60.25,11
R406201,126.38,0.38,96.38,30
R406202,74.75,0.38,60.25,12
R406211,122,0.25,96.38,24
R406212,85,0.25,60.25,11
R406221,123,0.13,94,17
R406222,86,0.13,59.25,8
R406231,122.5,0.13,94.25,17
R406232,84,0.13,60.5,8
R406251,119.75,0.13,97.13,18
R406252,82.25,0.13,60.75,7
R406261,121,0.25,91.5,19
R406262,85.5,0.38,61,11
R406271,122.25,0.25,95,20
R406272,84.5,0.25,60.5,7
R406281,121,0.25,91.75,15
R406282,85.13,0.38,61.38,9
R406291,122,0.38,96,24
R406292,85.75,0.38,61.13,12
R406311,121,0.75,96,25
R406312,84.13,0.75,60.38,12
R406331,118.5,0.38,92.5,60
R406332,83.63,0.5,60.63,27
R406351,118.75,0.63,93.25,54
R406352,84,0.5,60.5,27
R406361,118.5,0.63,92.75,66
R406362,83.5,0.5,60,28
R406371,117.5,0.25,91.5,42
R406372,83,0.25,61.13,19
R406381,119,0.5,92.5,56
R406382,84,0.5,60.75,27
R406391,124.5,0.63,92.63,44
R406392,88.88,0.25,60,20
R406401,119,0.38,91.5,49
R406402,83.25,0.38,60,21
R406411,119.75,0.5,91.75,42
R406412,85.25,0.5,62.25,20
R406421,121,0.63,91.75,37
R406422,82.75,0.5,59.25,16
R406471,118.13,0.38,93.13,25
R406472,85.88,0.38,61.5,12
R406511,120,0.38,94.25,25
R406512,86.75,0.38,63,12
R406521,120,0.38,94,25
R406522,86.5,0.25,63,12
R406591,119.75,0.5,94,23
R406592,85.63,0.38,58.75,11
R406641,119.5,0.5,94.63,34
R406642,89.38,0.5,63.25,16
R406651,120,0.25,95.5,16
R406652,84,0.25,62.25,8
R406661,119.25,0.25,95.5,16
R406662,83.25,0.25,62,7
R406671,122.25,0.38,94.75,30
R406672,89,0.38,61.5,13
R406681,122,0.38,94.13,29
R406682,88.63,0.63,61.25,13
R406691,120.5,0.38,94,31
R406692,85,0.38,62.75,15
R406701,125.38,0.38,95.38,30
R406702,87,0.38,63.63,15
R406760,168,0.33,120,67.98
R406761,120,0.33,92,41.58
R406762,84,0.33,60,19.58
R406771,119,0.5,94.63,29
R406772,83.38,0.38,60.75,13
R406780,168,0.01,120,37
R406781,120.08,0.35,95,30.73
R406782,83.86,0.35,62.99,14.31
R406790,168,0,120,81.84
R406791,120,0,92,45.98
R406792,84,0,60,21.12
R406801,120,0.26,92,57.2
R406802,84,0.26,60,28.38
R406820,168,0.26,120,109.12
R406821,120,0.26,92,58.52
R406822,84,0.26,60,26.62
R406831,120,0,96,45.52
R406832,84,0,60,21.27
R406841,118.5,0.5,94.75,29
R406842,84.13,0.38,60.88,13
R406851,120,0.71,96,36
R406852,84,0.71,60,17
R406861,120,0.26,92,57.2
R406862,84,0.26,60,28.38
R406871,120,0.28,96,55.11
R406872,84,0.28,60,23.36
R406881,116.5,0.75,94,32
R406882,82.5,0.75,57.88,14
