part_number,depth,height,length,weight
M50651,83,15,71,128
M50731,79,14,59,98
M50741,79,14,75,128
M50751,83,14,71,128
M50771,79,14,37,75
M50831,79,15,59,98
M50841,79,15,75,128
M50851,83,15,71,128
M50871,79,15,37,75
M50911,74,10,37,48.37
M50921,74,10,52,65.46
M50931,79,10,59,78.55
M50941,79,10,75,97.11
M51731,79.5,16,60,88
M51741,79.5,16,76,111.5
M51811,74.5,10,38,48
M51821,74.5,10,53,64
M51831,79.5,10,60,76
M51841,79.5,10,76,94
M52231,79.5,12,60,116
M52241,79.5,12,76,150
M52251,83.5,12,72,150
M52331,79.5,12,60,112
M52341,79.5,12,76,144
M52351,83.5,12,72,144
M52431,79.5,14,60,113
M52441,79.5,14,76,145
M52451,83.5,14,72,145
M52511,74,12,37,58.43
M52521,74,12,52,78.28
M52531,79,12,59,91.07
M52541,79,12,75,113.12
M57131,79,14,59,98
M57141,79,14,75,128
M57151,83,14,71,128
M57231,79,16.25,59,105
M57241,79,16.25,75,135
M57251,83,16.25,71,135
M57331,79,16.75,59,115
M57341,79,16.75,75,145
M57351,83,16.75,71,145
M58711,74,8,37,33
M58721,74,8,52,45
M58731,79,8,59,54
M58741,79,8,75,66
M58751,83,8,71,67
M58911,74,10,37,46
M58911X,74.5,10,38,46
M58921,74,10,52,62
M58931,79,10,59,74
M58931X,79.5,10,60,74
M58941,79,10,75,92
M58951,83,10,71,93
M59011,74,12,37,49
M59021,74,12,52,65
M59031,79,12,59,79
M59031X,79.5,12,60,79
M59041,79,12,75,98
M59041X,79.5,12,76,98
M59051,83,12,71,99
M59111,74.5,8,38,28
M59121,74.5,8,53,36.56
M59131,79.5,8,60,47
M59141,79.5,8,76,54.21
M59151,83.5,8,72,57
M59211,74.41,10,37.99,33
M59221,74.41,10,53.15,43.34
M59231,79.53,10,59.84,50.88
M59241,79.53,10,75.98,64.54
M59251,83.46,10,72.05,63.96
M59311,74.41,12,37.99,36.73
M59321,74.41,12,53.15,52
M59331,79.53,12,59.84,60.01
M59341,79.53,12,75.98,76.1
M59351,83.46,12,72.05,75.34
M62111,74,13.5,37,60.14
M62121,74,13.5,52,80.43
M62131,79,13.5,59,93.4
M62141,79,13.5,75,116.75
M62151,83,13.5,71,115.41
M62211,74,14,37,59.54
M62221,74,14,52,81.03
M62231,79,14,59,94.5
M62241,79,14,75,117.99
M62251,83,14,71,117.33
M62321,74,16,52,89.03
M62331,79,16,59,103.76
M62341,79,16,75,128.75
M62351,83,16,71,128.46
M62511,74,12,37,37.3
M62521,74,12,52,51.6
M62531,79,12,59,62
M62541,79,12,75,78.5
M62551,83,12,71,78.1
M62571,79,12,37,39.5
M62611,74,12,37,37.3
M62621,74,12,52,51.6
M62631,79,12,59,62
M62641,79,12,75,105
M62651,83,12,71,78.1
M62671,79,12,37,39.5
M62711,74,13,37,39.1
M62721,74,13,52,54.1
M62731,79,13,59,65
M62741,79,13,75,82.3
M62751,83,13,71,81.9
M63331,79,16,59,105.84
M63341,79,16,75,130.18
M65811,74.02,7.17,38.19,23.37
M65821,74.02,7.17,53.15,33
M65911,74.02,7.17,38.19,27
M65921,74.02,7.17,53.15,34
M67311,74,10,37,35.92
M67321,74,10,52,46
M67331,79,10,59,54
M67341,79,10,75,66
M67351,83,10,71,65
M67411,74,12,37,38
